25007152,REIMS OUEST(THILLOIS),49.2495084,3.9558962
25007171,COUTEVROULT,48.8537009,2.8384514
25007172,N°18 ST JEAN LES 2 JUMEAUX,48.9514039,3.018301
25007174,N°19 MONTREUIL (PARIS),48.9006938,2.3594561
25007140,MONTREUIL AUX LIONS,49.0098679,3.1454306
25007141,N°19 MONTREUIL (REIMS),48.863812,2.448451
25007144,N°20 CHATEAU-THIERRY,49.0097788,3.1455321
25007146,N°21 DORMANS,51.1257205,0.0014439
25007154,N°23 REIMS SUD,49.2593615,4.0363127
25007191,N°27 CHALONS / LA VEUVE (REIMS),NONE,NONE
25007192,N°27 CHALONS / LA VEUVE (METZ),NONE,NONE
25007193,N°28 ST ETIENNE AU TEMPLE,49.022681,4.424271
25007194,N°29 ST MENEHOULD,49.090822,4.892978
25007616,N°29.1 CLERMONT EN ARGONNE,49.105004,5.069394
25007195,N°30 VOIE SACREE,49.0938359,5.2784794
25007196,N°31 VERDUN,49.1108985,5.4139105
25007197,N°32 FRESNES EN WOEVRE,49.095837,5.631197
25007198,N°33 JARNY,49.151784,5.8858499
25007199,METZ (péage de Beaumont),49.1193089,6.1757156
25007177,N°34 STE MARIE AUX CHENES,49.193103,6.0053219
25007717,N°38 BOULAY,49.184543,6.4981099
25007718,ST AVOLD,49.1355869,6.7027221
25007719,N°39 ST AVOLD,49.135565,6.702741
25007721,N°41 FAREBERSVILLER,49.11656,6.867567
25007701,LOUPERSHOUSE,49.0755654,6.8967703
25007707,N°41.1 PUTTELANGE,49.075369,6.896839
25007702,N°42 SARREGUEMINES,49.106031,7.070862
25007703,N°43 SARRE UNION,48.940581,7.089694
25007704,N°44 PHALSBOURG,48.772087,7.240427
25007705,N°45 SAVERNE,48.7618238,7.390107
25007708,N°46 HOCHFELDEN OUEST,48.75853,7.570056
25007706,SCHWINDRATZHEIM,48.7696089,7.6020221
25007722,N°46 HOCHFELDEN,48.769548,7.602146
